num_followers,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
5.0,0.09820000000000001,0.631,224920.0,0.667,2.49E-6,5.0,0.125,-6.495,1.0,0.0511,120.015,0.4745
6.0,0.096475,0.631,224667.0,0.664,2.4175E-6,5.0,0.125,-6.50875,1.0,0.050625,120.04675,0.47050000000000003
9.0,0.102,0.631,225132.75,0.667,3.11E-6,5.0,0.125,-6.5665000000000004,1.0,0.0501,120.023,0.46
10.0,0.103725,0.62525,226360.0,0.6627500000000001,3.832499999999999E-6,5.0,0.1245,-6.6275,1.0,0.049699999999999994,120.01849999999999,0.47150000000000003
12.0,0.10225,0.64225,225058.25,0.663,3.44E-6,5.0,0.125,-6.5805,1.0,0.051275,120.759,0.47075
13.0,0.10685,0.6154999999999999,226342.5,0.67,2.36E-6,5.0,0.127,-6.609,1.0,0.04955,120.036,0.4625
15.0,0.09837499999999999,0.6134999999999999,225726.0,0.6717500000000001,4.700000000000001E-6,5.0,0.127,-6.54,1.0,0.0503,120.003,0.46875
16.0,0.09775,0.6205,226733.5,0.6577500000000001,2.865E-6,5.0,0.125,-6.5875,1.0,0.050425,119.9985,0.46425
17.0,0.0935,0.629,222587.0,0.6795,3.75E-6,5.0,0.1265,-6.441,1.0,0.0508,120.065,0.461
20.0,0.10875,0.62125,226330.5,0.67325,4.1475000000000005E-6,5.0,0.1245,-6.8435,1.0,0.0474,119.61224999999999,0.47775
24.0,0.119,0.612,223667.0,0.6205,3.56E-6,5.0,0.1255,-6.643000000000001,1.0,0.04925,120.003,0.448
26.0,0.09997500000000001,0.6,224410.25,0.6865000000000001,1.715E-6,5.0,0.12625,-6.276,1.0,0.049,122.02850000000001,0.46925
27.0,0.10650000000000001,0.62425,227310.75,0.6307499999999999,2.9750000000000003E-6,5.0,0.12775,-6.7605,1.0,0.04965,120.04825,0.45325000000000004
30.0,0.091,0.6054999999999999,226580.0,0.6665000000000001,6.675E-7,5.0,0.123,-6.425,1.0,0.045875,120.89775,0.4215
32.0,0.1285,0.6025,228190.25,0.6825000000000001,6.12E-6,5.0,0.12525,-6.63625,1.0,0.044399999999999995,120.207,0.4645
33.0,0.121,0.6085,228665.0,0.6525000000000001,2.415E-6,5.0,0.1235,-6.7645,1.0,0.04825,116.0915,0.47050000000000003
38.0,0.165,0.6045,226644.0,0.574,1.7900000000000002E-6,5.0,0.1225,-7.524,1.0,0.04535,119.21875,0.40325
40.0,0.09215,0.59175,220996.5,0.6935,3.0425E-6,5.0,0.127,-6.65525,1.0,0.048725000000000004,120.0015,0.47075
43.0,0.09467500000000001,0.6047499999999999,232560.0,0.652,2.8025000000000004E-5,5.0,0.1235,-6.57275,1.0,0.0442,120.01150000000001,0.42074999999999996
52.0,0.07980000000000001,0.5994999999999999,222833.0,0.74125,2.2075E-6,5.25,0.128,-5.7989999999999995,1.0,0.0504,123.031,0.52075
54.0,0.1565,0.586,216143.5,0.63,2.2750000000000002E-6,5.0,0.132,-6.538,1.0,0.048049999999999995,125.859,0.3735
55.0,0.12875,0.6092500000000001,223400.0,0.65825,0.0,5.0,0.12775,-6.5657499999999995,1.0,0.046424999999999994,116.2895,0.504
65.0,0.1735,0.5785,227486.75,0.6465000000000001,1.865E-6,5.0,0.1175,-6.870749999999999,1.0,0.0383,122.85849999999999,0.42
73.0,0.178,0.494,203653.0,0.651,7.11E-6,5.0,0.134,-6.629,1.0,0.03805,120.0,0.415
